direction,ts_entry,ts_exit,entry,stop_initial,stop_exit,target_initial,target_final,volume,r_result,cash_result,commission,outcome,stages_applied,fib_levels
buy,2025-08-01 03:50:00,2025-08-01 03:53:00,1.14286,1.14266,1.14266,1.1431,1.1431,5.0,-1.0,-99.775,22.5,loss,[],"{'0.0': np.float64(1.14201), '0.705': np.float64(1.14283485), '0.9': np.float64(1.1430630000000002), '1.0': np.float64(1.14318)}"
buy,2025-08-01 06:16:00,2025-08-01 06:21:00,1.14195,1.141691,1.141691,1.1422608,1.1422608,3.81,-1.0,-98.6058,17.145,loss,[],"{'0.0': np.float64(1.14287), '0.705': np.float64(1.14194645), '0.9': np.float64(1.141691), '1.0': np.float64(1.14156)}"
sell,2025-08-01 12:06:00,2025-08-01 12:08:00,1.14097,1.14117,1.14117,1.14073,1.14073,4.88,-1.0,-97.40014200000002,21.96,loss,[],"{'0.0': np.float64(1.14196), '0.705': np.float64(1.14099415), '0.9': np.float64(1.140727), '1.0': np.float64(1.14059)}"
sell,2025-08-04 03:33:00,2025-08-04 03:37:00,1.15578,1.156288,1.156288,1.1551704,1.1551704,1.9,-1.0,-96.34064058000001,8.549999999999999,loss,[],"{'0.0': np.float64(1.15456), '0.705': np.float64(1.1559135999999999), '0.9': np.float64(1.156288), '1.0': np.float64(1.15648)}"
buy,2025-08-04 09:26:00,2025-08-04 09:28:00,1.1565,1.1563,1.1566,1.15674,1.15674,4.77,-1.0,-95.16258417420002,21.464999999999996,loss,"['commission_cover', 'half_R']","{'0.0': np.float64(1.15558), '0.705': np.float64(1.1564401), '0.9': np.float64(1.156678), '1.0': np.float64(1.1568)}"
buy,2025-08-04 12:48:00,2025-08-04 12:50:00,1.15687,1.15667,1.1569150000000001,1.15711,1.15711,4.71,-1.0,-93.99900833245802,21.195,loss,['commission_cover'],"{'0.0': np.float64(1.15601), '0.705': np.float64(1.1567996), '0.9': np.float64(1.1570179999999999), '1.0': np.float64(1.15713)}"
buy,2025-08-04 17:46:00,2025-08-04 17:48:00,1.15743,1.157177,1.1575565,1.1577336,1.1577336,3.68,-1.0,-92.89341824913345,16.560000000000002,loss,"['commission_cover', 'half_R']","{'0.0': np.float64(1.15832), '0.705': np.float64(1.1574246499999998), '0.9': np.float64(1.157177), '1.0': np.float64(1.15705)}"
sell,2025-08-04 19:42:00,2025-08-04 19:44:00,1.15663,1.15683,1.15683,1.15639,1.15639,4.6,-1.0,-91.7574840666421,20.7,loss,[],"{'0.0': np.float64(1.15766), '0.705': np.float64(1.15663775), '0.9': np.float64(1.156355), '1.0': np.float64(1.15621)}"
sell,2025-08-04 20:51:00,2025-08-04 20:55:00,1.15705,1.1572989999999999,1.1572989999999999,1.1567512,1.1567512,3.65,-1.0,-90.67565922597569,16.425,loss,[],"{'0.0': np.float64(1.15648), '0.705': np.float64(1.1571215499999998), '0.9': np.float64(1.1572989999999999), '1.0': np.float64(1.15739)}"
sell,2025-08-05 22:17:00,2025-08-05 22:21:00,1.15699,1.1571909999999999,1.1568895000000001,1.1567488000000001,1.1567488000000001,4.47,-1.0,-89.56775263371594,20.115,loss,"['commission_cover', 'half_R']","{'0.0': np.float64(1.1563), '0.705': np.float64(1.15699795), '0.9': np.float64(1.1571909999999999), '1.0': np.float64(1.15729)}"
